season,team_name,points,wins,draws,losses,gf,ga,gd,rank
2002,Empoli,38,9,11,14,36,46,-10,12
2002,Atalanta,38,8,14,12,35,47,-12,13
2002,Reggina,38,10,8,16,38,53,-15,14
2002,Modena,38,9,11,14,30,48,-18,15
2002,Piacenza,30,8,6,20,44,62,-18,16
2002,Como,24,4,12,18,29,57,-28,17
2002,Torino,21,4,9,21,23,58,-35,18
2003,Milan,51,15,6,1,44,17,27,1
2003,Juventus,47,14,5,4,51,32,19,2
2003,Inter,42,12,6,5,35,23,12,3
2003,Roma,38,11,5,4,36,15,21,4
2003,Parma,38,10,8,2,39,24,15,5
2003,Lazio,33,9,6,6,35,27,8,6
2003,Sampdoria,30,8,6,8,25,27,-2,7
2003,Chievo,29,7,8,6,26,22,4,8
2003,Brescia,26,6,8,9,39,45,-6,9
2003,Lecce,26,7,5,10,30,41,-11,10
2003,Bologna,25,7,4,9,31,31,0,11
2003,Siena,25,6,7,8,30,31,-1,12
2003,Udinese,23,5,8,8,24,27,-3,13
2003,Perugia,20,4,8,10,22,31,-9,14
2003,Reggina,20,3,11,8,22,33,-11,15
2003,Modena,20,4,8,10,19,31,-12,16
2003,Empoli,19,4,7,10,19,37,-18,17
2003,Ancona,10,2,4,16,17,50,-33,18
2004,Juventus,74,23,5,4,57,21,36,1
2004,Milan,59,17,8,3,52,23,29,2
2004,Inter,59,15,14,1,56,32,24,3
2004,Udinese,50,14,8,5,43,24,19,4
2004,Sampdoria,47,13,8,9,34,23,11,5
2004,Palermo,41,9,14,7,39,36,3,6
2004,Messina,37,9,10,11,37,44,-7,7
2004,Fiorentina,36,8,12,11,33,39,-6,8
2004,Reggina,36,8,12,11,26,34,-8,9
2004,Brescia,36,10,6,14,32,45,-13,10
2004,Lazio,35,8,11,13,39,44,-5,11
2004,Cagliari,35,8,11,10,43,49,-6,12
2004,Livorno,35,8,11,12,43,52,-9,13
2004,Siena,35,8,11,12,35,46,-11,14
2004,Chievo,35,9,8,14,27,39,-12,15
2004,Lecce,34,7,13,10,54,61,-7,16
2004,Roma,33,8,9,12,41,44,-3,17
2004,Bologna,32,7,11,12,29,31,-2,18
2004,Parma,26,5,11,14,36,57,-21,19
2004,Atalanta,24,5,9,14,20,32,-12,20
2005,Juventus,91,27,10,1,71,24,47,1
2005,Milan,88,28,4,6,85,31,54,2
2005,Inter,76,23,7,8,68,30,38,3
2005,Fiorentina,74,22,8,8,66,41,25,4
2005,Roma,69,19,12,7,70,42,28,5
2005,Lazio,62,16,14,8,57,47,10,6
2005,Chievo,54,13,15,10,54,49,5,7
2005,Palermo,52,13,13,12,50,52,-2,8
2005,Livorno,49,12,13,13,37,44,-7,9
2005,Parma,45,12,9,17,46,60,-14,10
2005,Empoli,45,13,6,19,46,62,-16,11
2005,Ascoli,43,9,16,13,43,53,-10,12
2005,Udinese,43,11,10,17,40,54,-14,13
2005,Sampdoria,41,10,11,17,47,51,-4,14
2005,Reggina,41,11,8,19,39,65,-26,15
2005,Cagliari,39,8,15,15,42,55,-13,16
2005,Siena,39,9,12,17,42,60,-18,17
2005,Messina,31,6,13,19,34,58,-24,18
2005,Lecce,29,7,8,23,30,57,-27,19
2005,Treviso,21,3,12,23,24,56,-32,20
2006,Inter,97,30,7,1,80,34,46,1
2006,Roma,75,22,9,7,74,34,40,2
2006,Fiorentina,73,21,10,7,62,31,31,3
2006,Milan,69,19,12,7,57,36,21,4
2006,Lazio,65,18,11,9,59,33,26,5
2006,Palermo,58,16,10,12,58,51,7,6
2006,Empoli,54,14,12,12,42,43,-1,7
2006,Reggina,51,12,15,11,52,50,2,8
2006,Atalanta,50,12,14,12,56,54,2,9
2006,Sampdoria,49,13,10,15,44,48,-4,10
2006,Udinese,46,12,10,16,49,55,-6,11
2006,Livorno,43,10,13,15,41,54,-13,12
2006,Parma,42,10,12,16,41,56,-15,13
2006,Siena,41,9,14,15,35,45,-10,14
2006,Catania,41,10,11,17,46,68,-22,15
2006,Cagliari,40,9,13,16,35,46,-11,16
2006,Torino,40,10,10,18,27,47,-20,17
2006,Chievo,39,9,12,17,38,48,-10,18
2006,Ascoli,27,5,12,21,36,67,-31,19
2006,Messina,26,5,11,22,37,69,-32,20
2007,Inter,85,25,10,3,69,26,43,1
2007,Roma,82,24,10,4,72,37,35,2
2007,Juventus,72,20,12,6,72,37,35,3
2007,Fiorentina,66,19,9,10,55,39,16,4
2007,Milan,64,18,10,10,66,38,28,5
2007,Sampdoria,60,17,9,12,56,46,10,6
2007,Udinese,57,16,9,13,48,53,-5,7
2007,Napoli,50,14,8,16,50,53,-3,8
2007,Atalanta,48,12,12,14,52,56,-4,9
2007,Genoa,48,13,9,16,44,52,-8,10
2007,Palermo,47,12,11,15,47,57,-10,11
2007,Lazio,46,11,13,14,47,51,-4,12
2007,Siena,44,9,17,12,40,45,-5,13
2007,Cagliari,42,11,9,18,40,56,-16,14
2007,Torino,40,8,16,14,36,49,-13,15
2007,Reggina,40,9,13,16,37,56,-19,16
2007,Catania,37,8,13,17,33,45,-12,17
2007,Empoli,36,9,9,20,29,52,-23,18
2007,Parma,34,7,13,18,42,62,-20,19
2007,Livorno,30,6,12,20,35,60,-25,20
2008,Inter,84,25,9,4,70,32,38,1
2008,Milan,74,22,8,8,70,35,35,2
2008,Juventus,74,21,11,6,69,37,32,3
2008,Genoa,68,19,11,8,56,39,17,4
2008,Fiorentina,68,21,5,12,53,38,15,5
2008,Roma,63,18,9,11,64,61,3,6
2008,Udinese,58,16,10,12,61,50,11,7
2008,Palermo,57,17,6,15,57,50,7,8
2008,Cagliari,53,15,8,15,49,50,-1,9
2008,Lazio,50,15,5,18,46,55,-9,10
2008,Atalanta,47,13,8,17,45,48,-3,11
2008,Napoli,46,12,10,16,43,45,-2,12
2008,Sampdoria,46,11,13,14,49,52,-3,13
2008,Siena,44,12,8,18,33,44,-11,14
2008,Catania,43,12,7,19,41,51,-10,15
2008,Chievo,38,8,14,16,35,49,-14,16
2008,Bologna,37,9,10,19,43,62,-19,17
2008,Torino,34,8,10,20,37,61,-24,18
2008,Reggina,31,6,13,19,30,62,-32,19
2008,Lecce,30,5,15,18,37,67,-30,20
2009,Inter,82,24,10,4,75,34,41,1
2009,Roma,80,24,8,6,68,41,27,2
2009,Milan,70,20,10,8,60,39,21,3
2009,Sampdoria,67,19,10,9,49,41,8,4
2009,Palermo,65,18,11,9,59,47,12,5
2009,Napoli,59,15,14,9,50,43,7,6
2009,Juventus,55,16,7,15,55,56,-1,7
2009,Parma,52,14,10,14,46,51,-5,8
2009,Genoa,51,14,9,15,57,61,-4,9
2009,Bari,50,13,11,14,49,49,0,10
2009,Fiorentina,47,13,8,17,48,47,1,11
2009,Lazio,46,11,13,14,39,43,-4,12
2009,Catania,45,10,15,13,44,45,-1,13
2009,Cagliari,44,11,11,16,56,58,-2,14
2009,Udinese,44,11,11,16,54,59,-5,15
2009,Chievo,44,12,8,18,37,42,-5,16
2009,Bologna,42,10,12,16,42,55,-13,17
2009,Atalanta,35,9,8,21,37,53,-16,18
2009,Siena,31,7,10,21,40,67,-27,19
2009,Livorno,29,7,8,23,27,61,-34,20
2010,Milan,82,24,10,4,65,24,41,1
2010,Inter,76,23,7,8,69,42,27,2
2010,Napoli,70,21,7,10,59,39,20,3
2010,Udinese,66,20,6,12,65,43,22,4
2010,Lazio,66,20,6,12,55,39,16,5
2010,Roma,63,18,9,11,59,52,7,6
2010,Juventus,58,15,13,10,57,47,10,7
2010,Palermo,56,17,5,16,58,63,-5,8
2010,Fiorentina,51,12,15,11,49,44,5,9
2010,Genoa,51,14,9,15,45,47,-2,10
2010,Chievo,46,11,13,14,38,40,-2,11
2010,Parma,46,11,13,14,39,47,-8,12
2010,Catania,46,12,10,16,40,52,-12,13
2010,Cagliari,45,12,9,17,44,51,-7,14
2010,Bologna,45,11,12,15,35,52,-17,15
2010,Cesena,43,11,10,17,38,50,-12,16
2010,Lecce,41,11,8,19,46,66,-20,17
2010,Sampdoria,36,8,12,18,33,49,-16,18
2010,Brescia,32,7,11,20,34,52,-18,19
2010,Bari,24,5,9,24,27,56,-29,20
2011,Juventus,84,23,15,0,68,20,48,1
2011,Milan,80,24,8,6,74,33,41,2
2011,Udinese,64,18,10,10,52,35,17,3
2011,Lazio,62,18,8,12,56,47,9,4
2011,Napoli,61,16,13,9,66,46,20,5
2011,Inter,58,17,7,14,58,55,3,6
2011,Roma,56,16,8,14,60,54,6,7
2011,Parma,56,15,11,12,54,53,1,8
2011,Atalanta,52,13,13,12,41,43,-2,9
2011,Bologna,51,13,12,13,41,43,-2,10
2011,Chievo,49,12,13,13,35,45,-10,11
2011,Catania,48,11,15,12,47,52,-5,12
2011,Fiorentina,46,11,13,14,37,43,-6,13
2011,Siena,44,11,11,16,45,45,0,14
2011,Cagliari,43,10,13,15,37,46,-9,15
2011,Palermo,43,11,10,17,52,62,-10,16
2011,Genoa,42,11,9,18,50,69,-19,17
2011,Lecce,36,8,12,18,40,56,-16,18
2011,Novara,32,7,11,20,35,65,-30,19
2011,Cesena,22,4,10,24,24,60,-36,20
2012,Juventus,87,27,6,5,71,24,47,1
2012,Napoli,78,23,9,6,73,36,37,2
2012,Milan,72,21,9,8,67,39,28,3
2012,Fiorentina,70,21,7,10,72,44,28,4
2012,Udinese,66,18,12,8,59,45,14,5
2012,Roma,62,18,8,12,71,56,15,6
2012,Lazio,61,18,7,13,51,42,9,7
2012,Catania,56,15,11,12,50,46,4,8
2012,Inter,54,16,6,16,55,57,-2,9
2012,Parma,49,13,10,15,45,46,-1,10
2012,Cagliari,47,12,11,15,43,55,-12,11
2012,Chievo,45,12,9,17,37,52,-15,12
2012,Bologna,44,11,11,16,46,52,-6,13
2012,Sampdoria,43,11,10,17,43,51,-8,14
2012,Atalanta,42,11,9,18,39,56,-17,15
2012,Torino,40,8,16,14,46,55,-9,16
2012,Genoa,38,8,14,16,38,52,-14,17
2012,Siena,36,9,9,20,36,57,-21,18
2012,Palermo,32,6,14,18,34,54,-20,19
2012,Pescara,22,6,4,28,27,84,-57,20
2013,Juventus,102,33,3,2,80,23,57,1
2013,Roma,85,26,7,5,72,25,47,2
2013,Napoli,78,23,9,6,77,39,38,3
2013,Fiorentina,65,19,8,11,65,44,21,4
2013,Inter,60,15,15,8,62,39,23,5
2013,Parma,58,15,13,10,58,46,12,6
2013,Torino,57,15,12,11,58,48,10,7
2013,Milan,57,16,9,13,57,49,8,8
2013,Lazio,56,15,11,12,54,54,0,9
2013,Verona,54,16,6,16,62,68,-6,10
2013,Atalanta,50,15,5,18,43,51,-8,11
2013,Sampdoria,45,12,9,17,48,62,-14,12
2013,Genoa,44,11,11,16,41,50,-9,13
2013,Udinese,44,12,8,18,46,57,-11,14
2013,Cagliari,39,9,12,17,34,53,-19,15
2013,Chievo,36,10,6,22,34,54,-20,16
2013,Sassuolo,34,9,7,22,43,72,-29,17
2013,Catania,32,8,8,22,34,66,-32,18
2013,Bologna,29,5,14,19,28,58,-30,19
2013,Livorno,25,6,7,25,39,77,-38,20
2014,Juventus,87,26,9,3,72,24,48,1
2014,Roma,70,19,13,6,54,31,23,2
2014,Lazio,69,21,6,11,71,38,33,3
2014,Fiorentina,64,18,10,10,61,46,15,4
2014,Napoli,63,18,9,11,70,54,16,5
2014,Genoa,59,16,11,11,62,47,15,6
2014,Sampdoria,56,13,17,8,48,42,6,7
2014,Inter,55,14,13,11,59,48,11,8
2014,Torino,54,14,12,12,48,45,3,9
2014,Milan,52,13,13,12,56,50,6,10
2014,Palermo,49,12,13,13,53,55,-2,11
2014,Sassuolo,49,12,13,13,49,57,-8,12
2014,Verona,46,11,13,14,49,65,-16,13
2014,Chievo,43,10,13,15,28,41,-13,14
2014,Empoli,42,8,18,12,46,52,-6,15
2014,Udinese,41,10,11,17,43,56,-13,16
2014,Atalanta,37,7,16,15,38,57,-19,17
2014,Cagliari,34,8,10,20,48,68,-20,18
2014,Parma,26,6,8,24,33,75,-42,19
2014,Cesena,24,4,12,22,36,73,-37,20
2015,Juventus,91,29,4,5,75,20,55,1
2015,Napoli,82,25,7,6,80,32,48,2
2015,Roma,80,23,11,4,83,41,42,3
2015,Inter,67,20,7,11,50,38,12,4
2015,Fiorentina,64,18,10,10,60,42,18,5
2015,Sassuolo,61,16,13,9,49,40,9,6
2015,Milan,57,15,12,11,49,43,6,7
2015,Lazio,54,15,9,14,52,52,0,8
2015,Chievo,50,13,11,14,43,45,-2,9
2015,Genoa,46,13,7,18,45,48,-3,10
2015,Empoli,46,12,10,16,40,49,-9,11
2015,Torino,45,12,9,17,52,55,-3,12
2015,Atalanta,45,11,12,15,41,47,-6,13
2015,Bologna,42,11,9,18,33,45,-12,14
2015,Sampdoria,40,10,10,18,48,61,-13,15
2015,Udinese,39,10,9,19,35,60,-25,16
2015,Palermo,39,10,9,19,38,65,-27,17
2015,Carpi,38,9,11,18,37,57,-20,18
2015,Frosinone,31,8,7,23,35,76,-41,19
2015,Verona,28,5,13,20,34,63,-29,20
2016,Juventus,91,29,4,5,77,27,50,1
2016,Roma,87,28,3,7,90,38,52,2
2016,Napoli,86,26,8,4,94,39,55,3
2016,Atalanta,72,21,9,8,62,41,21,4
2016,Lazio,70,21,7,10,74,51,23,5
2016,Milan,63,18,9,11,57,45,12,6
2016,Inter,62,19,5,14,72,49,23,7
2016,Fiorentina,60,16,12,10,63,57,6,8
2016,Torino,53,13,14,11,71,66,5,9
2016,Sampdoria,48,12,12,14,49,55,-6,10
2016,Cagliari,47,14,5,19,55,76,-21,11
2016,Sassuolo,46,13,7,18,58,63,-5,12
2016,Udinese,45,12,9,17,47,56,-9,13
2016,Chievo,43,12,7,19,43,61,-18,14
2016,Bologna,41,11,8,19,40,58,-18,15
2016,Genoa,36,9,9,20,38,64,-26,16
2016,Crotone,34,9,7,22,34,58,-24,17
2016,Empoli,32,8,8,22,29,61,-32,18
2016,Palermo,26,6,8,24,33,77,-44,19
2016,Pescara,18,3,9,26,37,81,-44,20
2017,Juventus,95,30,5,3,86,24,62,1
2017,Napoli,91,28,7,3,77,29,48,2
2017,Roma,77,23,8,7,61,28,33,3
2017,Lazio,72,21,9,8,89,49,40,4
2017,Inter,72,20,12,6,66,30,36,5
2017,Milan,64,18,10,10,56,42,14,6
2017,Atalanta,60,16,12,10,57,39,18,7
2017,Fiorentina,57,16,9,13,54,46,8,8
2017,Torino,54,13,15,10,54,46,8,9
2017,Sampdoria,54,16,6,16,56,60,-4,10
2017,Sassuolo,43,11,10,17,29,59,-30,11
2017,Genoa,41,11,8,19,33,43,-10,12
2017,Udinese,40,12,4,22,48,63,-15,13
2017,Chievo,40,10,10,18,36,59,-23,14
2017,Bologna,39,11,6,21,40,52,-12,15
2017,Cagliari,39,11,6,21,33,61,-28,16
2017,Spal,38,8,14,16,39,59,-20,17
2017,Crotone,35,9,8,21,40,66,-26,18
2017,Verona,25,7,4,27,30,78,-48,19
2017,Benevento,21,6,3,29,33,84,-51,20
2018,Juventus,90,28,6,4,70,30,40,1
2018,Napoli,79,24,7,7,74,36,38,2
2018,Atalanta,69,20,9,9,77,46,31,3
2018,Inter,69,20,9,9,57,33,24,4
2018,Milan,68,19,11,8,55,36,19,5
2018,Roma,66,18,12,8,66,48,18,6
2018,Torino,63,16,15,7,52,37,15,7
2018,Lazio,59,17,8,13,56,46,10,8
2018,Sampdoria,53,15,8,15,60,51,9,9
2018,Bologna,44,11,11,16,48,56,-8,10
2018,Sassuolo,43,9,16,13,53,60,-7,11
2018,Udinese,43,11,10,17,39,53,-14,12
2018,Spal,42,11,9,18,44,56,-12,13
2018,Fiorentina,41,8,17,13,47,45,2,14
2018,Cagliari,41,10,11,17,36,54,-18,15
2018,Parma,41,10,11,17,41,61,-20,16
2018,Genoa,38,8,14,16,39,57,-18,17
2018,Empoli,38,10,8,20,51,70,-19,18
2018,Frosinone,25,5,10,23,29,69,-40,19
2018,Chievo,20,2,14,22,25,75,-50,20
2019,Juventus,83,26,5,7,76,43,33,1
2019,Inter,82,24,10,4,81,36,45,2
2019,Atalanta,78,23,9,6,98,48,50,3
2019,Lazio,78,24,6,8,79,42,37,4
2019,Roma,70,21,7,10,77,51,26,5
2019,Milan,66,19,9,10,63,46,17,6
2019,Napoli,62,18,8,12,61,50,11,7
2019,Sassuolo,51,14,9,15,69,63,6,8
2019,Fiorentina,49,12,13,13,51,48,3,9
2019,Parma,49,14,7,17,56,57,-1,10
2019,Verona,49,12,13,13,47,51,-4,11
2019,Bologna,47,12,11,15,52,65,-13,12
2019,Cagliari,45,11,12,15,52,56,-4,13
2019,Udinese,45,12,9,17,37,51,-14,14
2019,Sampdoria,42,12,6,20,48,65,-17,15
2019,Torino,40,11,7,20,46,68,-22,16
2019,Genoa,39,10,9,19,47,73,-26,17
2019,Lecce,35,9,8,21,52,85,-33,18
2019,Brescia,25,6,7,25,35,79,-44,19
2019,Spal,20,5,5,28,27,77,-50,20
2020,Inter,91,28,7,3,89,35,54,1
2020,Milan,79,24,7,7,74,41,33,2
2020,Atalanta,78,23,9,6,90,47,43,3
2020,Juventus,78,23,9,6,77,38,39,4
2020,Napoli,77,24,5,9,86,41,45,5
2020,Lazio,68,21,5,12,61,55,6,6
2020,Roma,63,18,9,11,68,55,13,7
2020,Sassuolo,62,17,11,10,64,56,8,8
2020,Sampdoria,52,15,7,16,52,54,-2,9
2020,Verona,43,10,13,15,43,48,-5,10
2020,Genoa,42,10,12,16,47,58,-11,11
2020,Bologna,41,10,11,17,51,65,-14,12
2020,Fiorentina,40,9,13,16,47,59,-12,13
2020,Udinese,40,10,10,18,42,58,-16,14
2020,Spezia,39,9,12,17,52,72,-20,15
2020,Cagliari,37,9,10,19,43,59,-16,16
2020,Torino,37,7,16,15,50,69,-19,17
2020,Benevento,33,7,12,19,40,75,-35,18
2020,Crotone,23,6,5,27,45,92,-47,19
2020,Parma,20,3,11,24,39,83,-44,20
2021,Milan,86,26,8,4,69,31,38,1
2021,Inter,84,25,9,4,84,32,52,2
2021,Napoli,79,24,7,7,74,31,43,3
2021,Juventus,70,20,10,8,57,37,20,4
2021,Lazio,64,18,10,10,77,58,19,5
2021,Roma,63,18,9,11,59,43,16,6
2021,Fiorentina,62,19,5,14,59,51,8,7
2021,Atalanta,59,16,11,11,65,48,17,8
2021,Verona,53,14,11,13,65,59,6,9
2021,Torino,50,13,11,14,46,41,5,10
2021,Sassuolo,50,13,11,14,64,66,-2,11
2021,Udinese,47,11,14,13,61,58,3,12
2021,Bologna,46,12,10,16,44,55,-11,13
2021,Empoli,41,10,11,17,50,70,-20,14
2021,Sampdoria,36,10,6,22,46,63,-17,15
2021,Spezia,36,10,6,22,41,71,-30,16
2021,Salernitana,31,7,10,21,33,78,-45,17
2021,Cagliari,30,6,12,20,34,68,-34,18
2021,Genoa,28,4,16,18,27,60,-33,19
2021,Venezia,27,6,9,23,34,69,-35,20
2022,Napoli,90,28,6,4,77,28,49,1
2022,Lazio,74,22,8,8,60,30,30,2
2022,Inter,72,23,3,12,71,42,29,3
2022,Juventus,72,22,6,10,56,33,23,4
2022,Milan,70,20,10,8,64,43,21,5
2022,Atalanta,64,19,7,12,66,48,18,6
2022,Roma,63,18,9,11,50,38,12,7
2022,Fiorentina,56,15,11,12,53,43,10,8
2022,Bologna,54,14,12,12,53,49,4,9
2022,Torino,53,14,11,13,42,41,1,10
2022,Monza,52,14,10,14,48,52,-4,11
2022,Udinese,46,11,13,14,47,48,-1,12
2022,Sassuolo,45,12,9,17,47,61,-14,13
2022,Empoli,43,10,13,15,37,49,-12,14
2022,Salernitana,42,9,15,14,48,62,-14,15
2022,Lecce,36,8,12,18,33,46,-13,16
2022,Verona,31,7,10,21,31,59,-28,17
2022,Spezia,31,6,13,19,31,62,-31,18
2022,Cremonese,27,5,12,21,36,69,-33,19
2022,Sampdoria,19,3,10,25,24,71,-47,20
2023,Inter,94,29,7,2,89,22,67,1
2023,Milan,75,22,9,7,76,49,27,2
2023,Juventus,71,19,14,5,54,31,23,3
2023,Atalanta,69,21,6,11,72,42,30,4
2023,Bologna,68,18,14,6,54,32,22,5
2023,Roma,63,18,9,11,65,46,19,6
2023,Lazio,61,18,7,13,49,39,10,7
2023,Fiorentina,60,17,9,12,61,46,15,8
2023,Napoli,53,13,14,11,55,48,7,9
2023,Torino,53,13,14,11,36,36,0,10
2023,Genoa,49,12,13,13,45,45,0,11
2023,Monza,45,11,12,15,39,51,-12,12
2023,Verona,38,9,11,18,38,51,-13,13
2023,Lecce,38,8,14,16,32,54,-22,14
2023,Udinese,37,6,19,13,37,53,-16,15
2023,Empoli,36,9,9,20,29,54,-25,16
2023,Cagliari,36,8,12,18,42,68,-26,17
2023,Frosinone,35,8,11,19,44,69,-25,18
2023,Sassuolo,30,7,9,22,43,75,-32,19
2023,Salernitana,17,2,11,25,32,81,-49,20
2024,Napoli,82,24,10,4,59,27,32,1
2024,Inter,81,24,9,5,79,35,44,2
2024,Atalanta,74,22,8,8,78,37,41,3
2024,Juventus,70,18,16,4,58,35,23,4
2024,Roma,69,20,9,9,56,35,21,5
2024,Fiorentina,65,19,8,11,60,41,19,6
2024,Lazio,65,18,11,9,61,49,12,7
2024,Milan,63,18,9,11,61,43,18,8
2024,Bologna,62,16,14,8,57,47,10,9
2024,Como,49,13,10,15,49,52,-3,10
2024,Torino,44,10,14,14,39,45,-6,11
2024,Udinese,44,12,8,18,41,56,-15,12
2024,Genoa,43,10,13,15,37,49,-12,13
2024,Verona,37,10,7,21,34,66,-32,14
2024,Parma,36,7,15,16,44,58,-14,15
2024,Cagliari,36,9,9,20,40,56,-16,16
2024,Lecce,34,8,10,20,27,58,-31,17
2024,Empoli,31,6,13,19,33,59,-26,18
2024,Venezia,29,5,14,19,32,56,-24,19
2024,Monza,18,3,9,26,28,69,-41,20
