season,team,points,wins,draws,losses,rank
2000,JUV,55,15,10,9,1
2000,BARI,54,15,9,10,2
2000,REG,54,15,9,10,3
2000,FIO,53,14,11,9,4
2000,INT,53,14,11,9,5
2000,MIL,53,14,11,9,6
2000,LAZ,49,13,10,11,7
2000,VIC,49,14,7,13,8
2000,BOLG,45,11,12,11,9
2000,UDI,43,11,10,13,10
2000,LEC,42,9,15,10,11
2000,NAP,42,10,12,12,12
2000,BRES,39,10,9,15,13
2000,PER,39,9,12,13,14
2000,PAR,38,8,14,12,15
2000,ROM,38,9,11,14,16
2000,VER,37,9,10,15,17
2000,ATA,36,7,15,12,18
2001,MIL,55,14,13,7,1
2001,ATA,54,13,15,6,2
2001,VER,52,13,13,8,3
2001,BRES,50,13,11,10,4
2001,LEC,50,13,11,10,5
2001,FIO,49,12,13,9,6
2001,JUV,48,12,12,10,7
2001,LAZ,48,12,12,10,8
2001,UDI,47,13,8,13,9
2001,PAR,46,13,7,14,10
2001,PER,45,11,12,11,11
2001,PIA,44,10,14,10,12
2001,CHI,43,10,13,11,13
2001,TOR,42,9,15,10,14
2001,INT,39,10,9,15,15
2001,VEN,35,7,14,13,16
2001,ROM,34,9,7,18,17
2001,BOLG,32,7,11,16,18
2002,TOR,57,16,9,9,1
2002,PER,54,13,15,6,2
2002,CHI,51,15,6,13,3
2002,EMP,50,13,11,10,4
2002,PAR,50,11,17,6,5
2002,MOD,49,12,13,9,6
2002,ROM,49,12,13,9,7
2002,BOLG,48,11,15,8,8
2002,COM,46,12,10,12,9
2002,REG,46,11,13,10,10
2002,UDI,46,11,13,10,11
2002,INT,45,10,15,9,12
2002,LAZ,41,9,14,11,13
2002,JUV,39,8,15,11,14
2002,MIL,37,9,10,15,15
2002,PIA,37,8,13,13,16
2002,ATA,32,7,11,16,17
2002,BRES,28,5,13,16,18
2005,MIL,64,19,7,12,1
2005,FIO,62,18,8,12,2
2005,LIVO,60,15,15,8,3
2005,ROM,58,15,13,10,4
2005,UDI,58,16,10,12,5
2005,SIE,56,14,14,10,6
2005,JUV,55,14,13,11,7
2005,CAG,53,13,14,11,8
2005,LEC,51,14,9,15,9
2005,EMP,50,10,20,8,10
2005,INT,48,13,9,16,11
2005,PAR,48,11,15,12,12
2005,ASC,47,11,14,13,13
2005,REG,47,12,11,15,14
2005,MES,46,10,16,12,15
2005,PAL,45,10,15,13,16
2005,CHI,43,10,13,15,17
2005,SAM,42,8,18,12,18
2005,LAZ,39,8,15,15,19
2005,TRE,37,8,13,17,20
2006,INT,60,17,9,12,1
2006,ROM,58,15,13,10,2
2006,SAM,58,15,13,10,3
2006,ASC,57,14,15,9,4
2006,LAZ,54,15,9,14,5
2006,PAL,54,13,15,10,6
2006,LIVO,53,12,17,9,7
2006,ATA,52,13,13,12,8
2006,CHI,51,13,12,13,9
2006,TOR,50,13,11,14,10
2006,UDI,50,12,14,12,11
2006,REG,49,11,16,11,12
2006,MIL,48,12,12,14,13
2006,CAT,47,10,17,11,14
2006,EMP,47,9,20,9,15
2006,SIE,46,11,13,14,16
2006,PAR,45,8,21,9,17
2006,FIO,42,10,12,16,18
2006,CAG,40,9,13,16,19
2006,MES,39,8,15,15,20
2007,LAZ,62,17,11,10,1
2007,MIL,60,15,15,8,2
2007,UDI,59,15,14,9,3
2007,REG,57,13,18,7,4
2007,EMP,56,14,14,10,5
2007,ROM,55,15,10,13,6
2007,CAG,53,13,14,11,7
2007,SAM,52,11,19,8,8
2007,FIO,51,12,15,11,9
2007,TOR,51,12,15,11,10
2007,CAT,49,12,13,13,11
2007,PAR,49,11,16,11,12
2007,ATA,47,11,14,13,13
2007,GEN,47,12,11,15,14
2007,SIE,47,12,11,15,15
2007,PAL,45,12,9,17,16
2007,NAP,44,10,14,14,17
2007,JUV,42,10,12,16,18
2007,LIVO,42,8,18,12,19
2007,INT,36,9,9,20,20
2008,GEN,68,17,17,4,1
2008,REG,65,19,8,11,2
2008,JUV,61,18,7,13,3
2008,MIL,61,15,16,7,4
2008,CAG,57,14,15,9,5
2008,FIO,54,14,12,12,6
2008,CHI,52,15,7,16,7
2008,INT,52,14,10,14,8
2008,CAT,51,13,12,13,9
2008,BOLG,50,12,14,12,10
2008,ATA,49,12,13,13,11
2008,PAL,49,13,10,15,12
2008,TOR,48,11,15,12,13
2008,UDI,48,12,12,14,14
2008,LAZ,45,9,18,11,15
2008,LEC,43,8,19,11,16
2008,SIE,42,10,12,16,17
2008,ROM,40,10,10,18,18
2008,SAM,40,8,16,14,19
2008,NAP,36,7,15,16,20
2009,CAG,65,18,11,9,1
2009,INT,65,19,8,11,2
2009,PAL,63,17,12,9,3
2009,SIE,61,17,10,11,4
2009,BARI,60,15,15,8,5
2009,MIL,56,15,11,12,6
2009,UDI,54,13,15,10,7
2009,ROM,53,14,11,13,8
2009,CHI,51,13,12,13,9
2009,LAZ,51,12,15,11,10
2009,FIO,50,13,11,14,11
2009,SAM,48,10,18,10,12
2009,CAT,45,11,12,15,13
2009,LIVO,45,11,12,15,14
2009,GEN,44,10,14,14,15
