season,team,points,wins,draws,losses,rank
2001,AVL,61,17,10,11,1
2001,CHE,61,17,10,11,2
2001,IPS,58,16,10,12,3
2001,WHU,56,13,17,8,4
2001,MID,55,14,13,11,5
2001,LIVP,54,12,18,8,6
2001,FUL,53,13,14,11,7
2001,LEE,53,13,14,11,8
2001,LEIC,53,14,11,13,9
2001,NEW,53,14,11,13,10
2001,CHA,52,15,7,16,11
2001,TOT,51,12,15,11,12
2001,BLBN,49,11,16,11,13
2001,ARS,48,12,12,14,14
2001,BOLN,48,11,15,12,15
2001,DER,48,14,6,18,16
2001,SOU,47,11,14,13,17
2001,SUN,41,10,11,17,18
2001,MANU,39,9,12,17,19
2001,EVE,36,8,12,18,20
2002,FUL,64,18,10,10,1
2002,WHU,62,15,17,6,2
2002,LIVP,59,15,14,9,3
2002,LEE,55,13,16,9,4
2002,MANC,55,15,10,13,5
2002,TOT,55,13,16,9,6
2002,MANU,54,14,12,12,7
2002,MID,53,12,17,9,8
2002,ARS,52,13,13,12,9
2002,SOU,50,12,14,12,10
2002,WBA,50,12,14,12,11
2002,BIR,47,12,11,15,12
2002,CHE,47,11,14,13,13
2002,NEW,47,10,17,11,14
2002,BLBN,45,11,12,15,15
2002,SUN,45,10,15,13,16
2002,CHA,44,11,11,16,17
2002,EVE,42,8,18,12,18
2002,BOLN,40,7,19,12,19
2002,AVL,33,7,12,19,20
2005,CHA,71,20,11,7,1
2005,AVL,69,20,9,9,2
2005,POR,58,15,13,10,3
2005,EVE,57,14,15,9,4
2005,LIVP,55,14,13,11,5
2005,MANU,55,14,13,11,6
2005,MANC,51,12,15,11,7
2005,BOLN,49,13,10,15,8
2005,BLBN,48,11,15,12,9
2005,FUL,48,11,15,12,10
2005,WBA,48,13,9,16,11
2005,BIR,47,11,14,13,12
2005,WHU,47,11,14,13,13
2005,ARS,46,10,16,12,14
2005,SUN,46,11,13,14,15
2005,TOT,46,9,19,10,16
2005,CHE,44,11,11,16,17
2005,NEW,42,9,15,14,18
2005,WIG,42,10,12,16,19
2005,MID,40,10,10,18,20
2006,FUL,69,19,12,7,1
2006,AVL,59,16,11,11,2
2006,MANC,59,15,14,9,3
2006,ARS,58,14,16,8,4
2006,EVE,55,13,16,9,5
2006,MID,55,15,10,13,6
2006,NEW,55,14,13,11,7
2006,BOLN,51,11,18,9,8
2006,LIVP,51,14,9,15,9
2006,SHU,50,11,17,10,10
2006,WAT,50,14,8,16,11
2006,POR,49,11,16,11,12
2006,CHA,48,11,15,12,13
2006,WHU,48,11,15,12,14
2006,CHE,45,11,12,15,15
2006,REA,44,8,20,10,16
2006,WIG,42,8,18,12,17
2006,TOT,40,9,13,16,18
2006,BLBN,39,9,12,17,19
2006,MANU,33,6,15,17,20
2007,TOT,64,18,10,10,1
2007,MID,63,19,6,13,2
2007,SUN,61,15,16,7,3
2007,MANC,59,15,14,9,4
2007,REA,54,14,12,12,5
2007,ARS,53,13,14,11,6
2007,AVL,52,13,13,12,7
2007,BOLN,52,12,16,10,8
2007,DER,52,13,13,12,9
