team,season,first_half_win_pct,second_half_win_pct,league
BAY,2004,66.66666666666666,84.31372549019608,Bundesliga
BIE,2004,47.05882352941177,31.37254901960784,Bundesliga
BOC,2004,27.45098039215686,41.1764705882353,Bundesliga
DOR,2004,35.294117647058826,72.54901960784314,Bundesliga
FRE,2004,21.568627450980394,13.72549019607843,Bundesliga
HAM,2004,49.01960784313726,50.98039215686274,Bundesliga
HAN,2004,54.90196078431372,33.33333333333333,Bundesliga
HANR,2004,21.568627450980394,37.25490196078432,Bundesliga
HERT,2004,54.90196078431372,58.82352941176471,Bundesliga
KAI,2004,41.1764705882353,41.1764705882353,Bundesliga
LEVK,2004,50.98039215686274,60.78431372549019,Bundesliga
M'G,2004,33.33333333333333,37.25490196078432,Bundesliga
MAI,2004,43.13725490196079,41.1764705882353,Bundesliga
NUR,2004,41.1764705882353,33.33333333333333,Bundesliga
SCH,2004,66.66666666666666,56.86274509803921,Bundesliga
STU,2004,60.78431372549019,52.94117647058824,Bundesliga
WERB,2004,54.90196078431372,60.78431372549019,Bundesliga
WOB,2004,58.82352941176471,35.294117647058826,Bundesliga
BAY,2005,86.27450980392157,60.78431372549019,Bundesliga
BIE,2005,39.21568627450981,33.33333333333333,Bundesliga
DOR,2005,41.1764705882353,49.01960784313726,Bundesliga
DUI,2005,23.529411764705884,29.411764705882355,Bundesliga
EINF,2005,41.1764705882353,29.411764705882355,Bundesliga
HAM,2005,74.50980392156863,58.82352941176471,Bundesliga
HAN,2005,41.1764705882353,33.33333333333333,Bundesliga
HERT,2005,50.98039215686274,43.13725490196079,Bundesliga
KAI,2005,23.529411764705884,41.1764705882353,Bundesliga
KOL,2005,23.529411764705884,35.294117647058826,Bundesliga
LEVK,2005,37.25490196078432,64.70588235294117,Bundesliga
M'G,2005,49.01960784313726,33.33333333333333,Bundesliga
MAI,2005,31.37254901960784,43.13725490196079,Bundesliga
NUR,2005,27.45098039215686,58.82352941176471,Bundesliga
SCH,2005,60.78431372549019,58.82352941176471,Bundesliga
STU,2005,49.01960784313726,35.294117647058826,Bundesliga
WERB,2005,70.58823529411765,66.66666666666666,Bundesliga
WOB,2005,35.294117647058826,31.37254901960784,Bundesliga
AAC,2006,37.25490196078432,29.411764705882355,Bundesliga
BAY,2006,64.70588235294117,52.94117647058824,Bundesliga
BIE,2006,43.13725490196079,39.21568627450981,Bundesliga
BOC,2006,35.294117647058826,52.94117647058824,Bundesliga
COT,2006,33.33333333333333,47.05882352941177,Bundesliga
DOR,2006,43.13725490196079,43.13725490196079,Bundesliga
EINF,2006,39.21568627450981,39.21568627450981,Bundesliga
HAM,2006,25.49019607843137,62.74509803921568,Bundesliga
HAN,2006,39.21568627450981,47.05882352941177,Bundesliga
HERT,2006,52.94117647058824,33.33333333333333,Bundesliga
LEVK,2006,49.01960784313726,50.98039215686274,Bundesliga
M'G,2006,29.411764705882355,21.568627450980394,Bundesliga
MAI,2006,21.568627450980394,45.09803921568628,Bundesliga
NUR,2006,45.09803921568628,49.01960784313726,Bundesliga
SCH,2006,70.58823529411765,62.74509803921568,Bundesliga
STU,2006,62.74509803921568,74.50980392156863,Bundesliga
WERB,2006,70.58823529411765,58.82352941176471,Bundesliga
WOB,2006,37.25490196078432,35.294117647058826,Bundesliga
BAY,2007,70.58823529411765,78.43137254901961,Bundesliga
BIE,2007,35.294117647058826,31.37254901960784,Bundesliga
BOC,2007,37.25490196078432,43.13725490196079,Bundesliga
COT,2007,29.411764705882355,41.1764705882353,Bundesliga
DOR,2007,41.1764705882353,37.25490196078432,Bundesliga
DUI,2007,25.49019607843137,31.37254901960784,Bundesliga
EINF,2007,45.09803921568628,45.09803921568628,Bundesliga
HAM,2007,62.74509803921568,43.13725490196079,Bundesliga
HAN,2007,52.94117647058824,43.13725490196079,Bundesliga
HANR,2007,33.33333333333333,25.49019607843137,Bundesliga
HERT,2007,39.21568627450981,47.05882352941177,Bundesliga
KAR,2007,54.90196078431372,29.411764705882355,Bundesliga
LEVK,2007,58.82352941176471,41.1764705882353,Bundesliga
NUR,2007,29.411764705882355,31.37254901960784,Bundesliga
SCH,2007,56.86274509803921,68.62745098039214,Bundesliga
STU,2007,49.01960784313726,52.94117647058824,Bundesliga
WERB,2007,70.58823529411765,58.82352941176471,Bundesliga
WOB,2007,39.21568627450981,66.66666666666666,Bundesliga
BAY,2008,68.62745098039214,62.74509803921568,Bundesliga
BIE,2008,27.45098039215686,27.45098039215686,Bundesliga
BOC,2008,21.568627450980394,41.1764705882353,Bundesliga
