league,team,win_rate,std_win_rate,std_rank
MLB,KCA,0.49883122528672674,0.04901673540168456,1
MLB,TBA,0.4920126264950728,0.048087109944420475,2
MLB,NYA,0.4961886767954716,0.047100827211928584,3
MLB,TEX,0.48997464151824743,0.04668272798176239,4
MLB,PIT,0.4903352979580597,0.04581437215675813,5
MLB,CIN,0.49943410293172696,0.04532375925153703,6
MLB,OAK,0.49948657488829024,0.043780807103513286,7
MLB,PHI,0.49039518305620605,0.041464828070916226,8
MLB,CLE,0.5011505770062121,0.0412090438374625,9
MLB,SEA,0.5000548361222336,0.0411593532950296,10
MLB,CHA,0.5076847929314126,0.040927896188232706,11
MLB,MIL,0.5003193476966832,0.04077317377594058,12
MLB,SDN,0.4947294183534712,0.040283388157833194,13
MLB,MIN,0.4974079406255158,0.04010187287683428,14
MLB,CHN,0.4871393007868804,0.04005123716942167,15
MLB,FLO,0.5023884441123191,0.039801861446684454,16
MLB,MIA,0.495346628679962,0.03973840139486428,17
MLB,SFN,0.5179547851957038,0.03934040369365854,18
MLB,ANA,0.5008377425044092,0.03926853901206666,19
MLB,DET,0.49819287876730334,0.03909216042038613,20
MLB,SLN,0.5089210859383276,0.03809592714465007,21
MLB,ARI,0.5105852766346594,0.03791993826024965,22
MLB,BAL,0.5012623053913077,0.037479700212790484,23
MLB,TOR,0.4992229802871173,0.03740827229394889,24
MLB,COL,0.5031022800117475,0.03722047303574251,25
MLB,NYN,0.5061634736605458,0.036047764298909823,26
MLB,BOS,0.498275188427019,0.035775539676673775,27
MLB,CAL,0.49891045797871797,0.035562641002269094,28
MLB,HOU,0.5058655626892342,0.034776376729710984,29
MLB,WAS,0.4999191012959129,0.0344454909983613,30
MLB,ATL,0.501079820162825,0.03078587053644086,31
MLB,LAN,0.5038079448927325,0.030253487210144713,32
MLB,MON,0.5047835430702559,0.02644761440020738,33
NBA,MLH,0.4754854886897141,0.07740084381451094,1
NBA,SYN,0.4859828878011709,0.0764296529487362,2
NBA,MNL,0.4930772970345163,0.07398265769501262,3
NBA,FWP,0.5054630383115037,0.06933163907807337,4
NBA,WSC,0.5352941176470588,0.06470588235294117,5
NBA,LAC,0.4900884514388381,0.06314108066478219,6
NBA,MIN,0.5084193305001232,0.06304117321717621,7
NBA,SLH,0.4677122979170936,0.06183103923912727,8
NBA,NJN,0.4926394256150354,0.06104921719090324,9
NBA,INO,0.5287757432518462,0.06013994833718801,10
NBA,ATL,0.5015352885086375,0.05995767985382071,11
NBA,PHA,0.47432928265579044,0.05983608730844238,12
NBA,SAC,0.49573829761024885,0.059428479043530304,13
NBA,MIA,0.498514218589394,0.05895733558410437,14
NBA,DEN,0.5052586577652625,0.05887032759707914,15
NBA,RCH,0.4938348824378236,0.05883869839986237,16
NBA,CHI,0.49141274880147695,0.0584575426625508,17
NBA,DAL,0.5021116312173223,0.05703911398461223,18
NBA,UTA,0.503387774885654,0.05689177965539993,19
NBA,PHX,0.4973474864470521,0.05567552725608027,20
NBA,IND,0.4986121671200337,0.055474121859591996,21
NBA,BOS,0.5123441876439261,0.05480636604052287,22
NBA,NYK,0.49571752879499553,0.05471989534183682,23
NBA,DET,0.510614805741441,0.054708436145523814,24
NBA,SEA,0.5010826888756692,0.0546168826505303,25
NBA,GSW,0.505776609663993,0.0538065843812491,26
NBA,LAL,0.49351846775071173,0.053087066720602656,27
NBA,POR,0.5097674667209036,0.05297832272841238,28
NBA,CIN,0.5177855432187701,0.052798785214500446,29
NBA,KCK,0.5048780487804878,0.05236807452093631,30
NBA,MIL,0.4986448864090904,0.05131715395474952,31
NBA,HOU,0.49921254094695827,0.050861284129297746,32
NBA,SAS,0.49089873099859854,0.04980479587238627,33
NBA,CHA,0.4970044129312422,0.049480472163048045,34
NBA,ORL,0.5237637835645688,0.04932990343345677,35
NBA,BKN,0.4996351886595789,0.04868529452968066,36
NBA,MEM,0.5038164070541702,0.04863454972568066,37
NBA,WAS,0.48623052620900536,0.04825705322990588,38
NBA,TOR,0.5105585940707892,0.04811518049921885,39
NBA,OKC,0.5184597667319084,0.04806192919204917,40
NBA,BAL,0.522932144426583,0.04731927596284426,41
NBA,PHI,0.4979339699175948,0.047178998899621474,42
NBA,BUF,0.5045731707317073,0.045195021586504854,43
NBA,NOH,0.5149051490514904,0.045185181573260354,44
NBA,SFW,0.4967404396266185,0.04505485930294348,45
NBA,CLE,0.494941206366927,0.04107953319370355,46
NBA,NOP,0.47256097560975613,0.04026916794401759,47
NBA,SDC,0.5223577235772358,0.04008756691730898,48
NBA,NOJ,0.48048780487804876,0.03584619135780261,49
NBA,KCO,0.4878048780487805,0.029871826131502178,50
NBA,NOK,0.524390243902439,0.024390243902439046,51
