league,season,team,first_half_win_pct,second_half_win_pct,n_first,n_second,seed
Bundesliga,2004,BAY,0.4117647058823529,0.29411764705882354,17,17,10
Bundesliga,2004,BIE,0.35294117647058826,0.4117647058823529,17,17,10
Bundesliga,2004,BOC,0.35294117647058826,0.47058823529411764,17,17,10
Bundesliga,2004,DOR,0.29411764705882354,0.23529411764705882,17,17,10
Bundesliga,2004,FRE,0.29411764705882354,0.5294117647058824,17,17,10
Bundesliga,2004,HAM,0.29411764705882354,0.35294117647058826,17,17,10
Bundesliga,2004,HAN,0.47058823529411764,0.35294117647058826,17,17,10
Bundesliga,2004,HANR,0.29411764705882354,0.35294117647058826,17,17,10
Bundesliga,2004,HERT,0.29411764705882354,0.5294117647058824,17,17,10
Bundesliga,2004,KAI,0.47058823529411764,0.29411764705882354,17,17,10
Bundesliga,2004,LEVK,0.35294117647058826,0.35294117647058826,17,17,10
Bundesliga,2004,M'G,0.5882352941176471,0.35294117647058826,17,17,10
Bundesliga,2004,MAI,0.35294117647058826,0.6470588235294118,17,17,10
Bundesliga,2004,NUR,0.47058823529411764,0.4117647058823529,17,17,10
Bundesliga,2004,SCH,0.47058823529411764,0.11764705882352941,17,17,10
Bundesliga,2004,STU,0.7058823529411765,0.29411764705882354,17,17,10
Bundesliga,2004,WERB,0.29411764705882354,0.5882352941176471,17,17,10
Bundesliga,2004,WOB,0.23529411764705882,0.47058823529411764,17,17,10
Bundesliga,2005,BAY,0.35294117647058826,0.4117647058823529,17,17,10
Bundesliga,2005,BIE,0.6470588235294118,0.23529411764705882,17,17,10
Bundesliga,2005,DOR,0.35294117647058826,0.35294117647058826,17,17,10
Bundesliga,2005,DUI,0.4117647058823529,0.47058823529411764,17,17,10
Bundesliga,2005,EINF,0.4117647058823529,0.35294117647058826,17,17,10
Bundesliga,2005,HAM,0.35294117647058826,0.23529411764705882,17,17,10
Bundesliga,2005,HAN,0.4117647058823529,0.5882352941176471,17,17,10
Bundesliga,2005,HERT,0.4117647058823529,0.17647058823529413,17,17,10
Bundesliga,2005,KAI,0.4117647058823529,0.35294117647058826,17,17,10
Bundesliga,2005,KOL,0.35294117647058826,0.35294117647058826,17,17,10
Bundesliga,2005,LEVK,0.29411764705882354,0.29411764705882354,17,17,10
Bundesliga,2005,M'G,0.35294117647058826,0.17647058823529413,17,17,10
Bundesliga,2005,MAI,0.29411764705882354,0.29411764705882354,17,17,10
Bundesliga,2005,NUR,0.35294117647058826,0.47058823529411764,17,17,10
Bundesliga,2005,SCH,0.35294117647058826,0.4117647058823529,17,17,10
Bundesliga,2005,STU,0.35294117647058826,0.4117647058823529,17,17,10
Bundesliga,2005,WERB,0.29411764705882354,0.4117647058823529,17,17,10
Bundesliga,2005,WOB,0.4117647058823529,0.5882352941176471,17,17,10
Bundesliga,2006,AAC,0.23529411764705882,0.35294117647058826,17,17,10
Bundesliga,2006,BAY,0.47058823529411764,0.47058823529411764,17,17,10
Bundesliga,2006,BIE,0.23529411764705882,0.35294117647058826,17,17,10
Bundesliga,2006,BOC,0.5294117647058824,0.47058823529411764,17,17,10
Bundesliga,2006,COT,0.35294117647058826,0.23529411764705882,17,17,10
Bundesliga,2006,DOR,0.23529411764705882,0.29411764705882354,17,17,10
Bundesliga,2006,EINF,0.23529411764705882,0.4117647058823529,17,17,10
Bundesliga,2006,HAM,0.35294117647058826,0.29411764705882354,17,17,10
Bundesliga,2006,HAN,0.4117647058823529,0.23529411764705882,17,17,10
Bundesliga,2006,HERT,0.5882352941176471,0.4117647058823529,17,17,10
Bundesliga,2006,LEVK,0.4117647058823529,0.5882352941176471,17,17,10
Bundesliga,2006,M'G,0.29411764705882354,0.35294117647058826,17,17,10
Bundesliga,2006,MAI,0.4117647058823529,0.35294117647058826,17,17,10
Bundesliga,2006,NUR,0.23529411764705882,0.4117647058823529,17,17,10
Bundesliga,2006,SCH,0.5294117647058824,0.47058823529411764,17,17,10
Bundesliga,2006,STU,0.4117647058823529,0.29411764705882354,17,17,10
Bundesliga,2006,WERB,0.35294117647058826,0.29411764705882354,17,17,10
Bundesliga,2006,WOB,0.29411764705882354,0.29411764705882354,17,17,10
